StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
BalkrishnaIndustriesLtd.|Tyres&allied|2.07|802.5|1.37|0.19%|1.37%(May2020)|0%(Jun2019)|7.44L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
VoltasLimited|Engineering,designing,construction|2.73|791|1.35|0.13%|1.56%(Jun2019)|1.22%(Apr2020)|16.47L|2.15L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|1.3|765.9|1.30|-0.17%|1.51%(Sep2019)|0%(Jun2019)|39.37L|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AmaraRajaBatteriesLimited|Batteries–automobile|3.24|739.9|1.26|0.10%|1.29%(Jul2019)|0.99%(Jan2020)|12.04L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
V-GuardIndustriesLtd.|Industrialelectronics|2.69|735.4|1.25|0.04%|1.3%(Jun2019)|0.95%(Jan2020)|41.53L|1.10L|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
Mahindra&MahindraFinancialServicesLtd.|Nbfc|5.14|713.6|1.22|-0.21%|2.16%(Feb2020)|1.22%(May2020)|51.08L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
MothersonSumiSystemsLtd.|Autoancillaries|1.2|704.8|1.20|0.10%|1.32%(Dec2019)|0.88%(Mar2020)|73.96L|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ErisLifesciencesLtd.|Pharmaceuticals|7.41|703.2|1.20|0.01%|1.2%(May2020)|0.55%(Aug2019)|14.07L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
OberoiRealtyLtd.|Residential/commercial/sezproject|1.19|699.2|1.19|-0.08%|1.38%(Feb2020)|1.07%(Sep2019)|21.86L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SundaramFinanceLimited|Nbfc|5.14|691.3|1.18|-0.16%|1.49%(Jul2019)|1.04%(Jan2020)|5.46L|-0.80L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
LuxIndustriesLtd.|Fabricsandgarments|3.63|690.4|1.18|0.04%|1.27%(Mar2020)|0.85%(Jun2019)|7.53L|37.13k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
PersistentSystemsLtd.|Computers-software|1.15|673.4|1.15|0.18%|1.15%(May2020)|0.57%(Jun2019)|12.81L|76.00k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
HawkinsCookersLtd.|Consumerproducts|1.12|658.5|1.12|-0.15%|1.27%(Apr2020)|0.71%(Jul2019)|1.57L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AxisBankLtd.|Banks|6.57|652.9|1.11|-0.17%|1.59%(Oct2019)|0%(Jun2019)|16.96L|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
JindalSteel&PowerLtd.|Steel|1.08|633.6|1.08|0.16%|1.4%(Dec2019)|0.79%(Sep2019)|52.13L|-5.00L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SKFIndiaLtd.|Bearings|4.02|626.8|1.07|0.23%|1.24%(Jun2019)|0.82%(Feb2020)|4.34L|1.00L|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AlkemLaboratoriesLtd.|Hospital|2.56|568.4|0.97|0.06%|0.97%(May2020)|0.37%(Jun2019)|2.51L|45.12k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
#ICICIBankLtd.|Banks|6.57|564.9|0.96|0.96%|0.96%(May2020)|0%(Jun2019)|17.02L|17.02L|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
FederalBankLtd.|Banks|6.57|519.9|0.89|-0.07%|1.84%(Jul2019)|0.89%(May2020)|1.16Cr|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
StateBankOfIndia|Banks|6.57|483.9|0.82|-0.15%|1.33%(Nov2019)|0.8%(Jun2019)|30.00L|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
BataIndiaLtd.|Leatherandleatherproducts|0.81|473.4|0.81|-0.01%|1.05%(Sep2019)|0.73%(Feb2020)|3.57L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
LaurusLabsLtd.|Pharmaceuticals|7.41|459.2|0.78|-0.07%|0.85%(Apr2020)|0.51%(Jun2019)|9.80L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
FinolexCablesLtd.|Cables-electricals|0.75|442.8|0.75|-0.15%|1.62%(Jun2019)|0.75%(May2020)|20.83L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
MRFLtd.|Tyres&allied|2.07|409.2|0.70|-0.01%|1.47%(Aug2019)|0.7%(May2020)|6.92k|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
CityUnionBankLtd.|Banks|6.57|406.9|0.69|-0.07%|1.5%(Jun2019)|0.69%(May2020)|30.01L|-1.00L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ShriramCityUnionFinanceLtd.|Nbfc|5.14|405.6|0.69|-0.10%|1.82%(Jun2019)|0.69%(May2020)|6.37L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
RBLBankLtd.|Banks|6.57|396|0.67|-0.09%|2.53%(Jun2019)|0.67%(May2020)|32.86L|-1.00L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|0.64|376|0.64|0.03%|0.87%(Jul2019)|0.58%(Feb2020)|19.04L|1.58L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
KalpataruPowerTransmissionLtd.|Transmissiontowers|0.58|341.9|0.58|-0.05%|0.65%(Feb2020)|0%(Jun2019)|16.67L|50.00k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
EmamiLtd.|Personalcare|0.56|327|0.56|0.01%|1.24%(Jul2019)|0.55%(Apr2020)|16.78L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AmberEnterprisesIndiaLtd.|Airconditioner|0.74|306.3|0.52|0.17%|0.52%(May2020)|0%(Jun2019)|2.46L|50.61k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
KewalKiranClothingLtd.|Fabricsandgarments|3.63|254.4|0.43|-0.06%|0.86%(Jun2019)|0.43%(May2020)|3.57L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
CholamandalamFinancialHoldingsLtd.|Otherfinancialservices|0.4|232.6|0.40|-0.08%|0.89%(Jul2019)|0.4%(May2020)|9.48L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
PNCInfratechLtd.|Constructioncivil|0.37|216.3|0.37|-0.07%|0.7%(Nov2019)|0.37%(May2020)|20.43L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
#BlueStarLtd.|Airconditioner|0.74|129.7|0.22|0.22%|0.22%(May2020)|0%(Jun2019)|2.64L|2.64L|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|5.14|128.4|0.22|-0.02%|0.29%(Mar2020)|0%(Jun2019)|2.38L|0.00|Other|0.22|kotak-emerging-equity-scheme-regular-plan|29-06-2020
KirloskarOilEnginesLtd.|Dieselengines|1.91|128.3|0.22|-0.02%|0.52%(Jun2019)|0.21%(Mar2020)|12.53L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
J.K.CementLtd.|Cement|6.45|98.5|0.17|0.01%|0.17%(May2020)|0%(Jun2019)|84.34k|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
RamkrishnaForgingsLtd.|Castings/forgings|0.1|59.9|0.10|-0.02%|0.42%(Jul2019)|0.1%(May2020)|3.94L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
FutureRetailLtd.|Retailing|0.09|55.4|0.09|-0.08%|1.45%(Jun2019)|0.09%(May2020)|6.53L|-5.00L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
HDFCBankLtd.|Banks|19.66|666.4|5.89|-0.33%|7.04%(Dec2019)|5.89%(May2020)|7.00L|-0.30L|Other|7.24|kotak-equity-hybrid-regular-plan|29-06-2020
ICICIBankLtd.|Banks|19.66|630.4|5.57|-0.65%|7.52%(Dec2019)|5.57%(May2020)|18.99L|-0.25L|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|5.17|389|3.44|0.01%|3.44%(May2020)|2.69%(Feb2020)|2.66L|-0.10L|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
KotakMahindraBankLtd.|Banks|19.66|357.6|3.16|-0.21%|3.51%(Mar2020)|2.74%(Jun2019)|2.92L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
InfosysLtd.|Computers-software|5.16|352.4|3.11|0.01%|4.45%(Jul2019)|2.97%(Oct2019)|5.10L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.31|344.5|3.04|0.07%|3.37%(Sep2019)|2.66%(Jul2019)|3.70L|-0.20L|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|6.48|290.1|2.56|0.18%|2.56%(May2020)|1.15%(Jun2019)|71.25k|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
J.K.CementLtd.|Cement|5.98|283.7|2.51|-0.28%|2.79%(Apr2020)|1.9%(Jun2019)|2.43L|-0.50L|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
StateBankOfIndia|Banks|19.66|247.3|2.18|-0.46%|3.76%(Jun2019)|2.18%(May2020)|15.33L|-1.00L|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
AxisBankLtd.|Banks|19.66|245.5|2.17|-0.24%|3.5%(Jun2019)|2.17%(May2020)|6.38L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|5.16|231.9|2.05|0.04%|2.43%(Jul2019)|1.72%(Nov2019)|1.18L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|2.02|229.2|2.02|-0.23%|2.67%(Dec2019)|2.02%(May2020)|1.38L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
TheRamcoCementsLtd.|Cement|5.98|223.6|1.97|0.23%|1.97%(May2020)|1.15%(Jul2019)|3.70L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
SunPharmaceuticalIndustriesLtd.|Pharmaceuticals|6.48|208.7|1.84|0.26%|1.84%(May2020)|1.08%(Sep2019)|4.40L|40.00k|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
ThermaxLtd.|Industrialequipment|1.8|203.7|1.80|0.03%|2.24%(Sep2019)|1.77%(Apr2020)|2.87L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|5.17|186.8|1.65|-0.06%|1.78%(Oct2019)|1.19%(Jul2019)|5.45L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
SolarIndustriesIndiaLtd.|Explosives|1.55|175.5|1.55|0.07%|1.69%(Jan2020)|1.42%(Nov2019)|1.97L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
ShreeCementLtd.|Cement|5.98|169.6|1.50|0.13%|1.5%(May2020)|1.1%(Oct2019)|8.13k|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
ITCLimited|Cigarettes|1.38|156.7|1.38|0.15%|2.28%(Jul2019)|1.23%(Apr2020)|7.94L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|6.48|148.2|1.31|0.13%|1.31%(May2020)|0.68%(Jun2019)|4.30L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
TechnoElectric&EngineeringCo.Ltd.|Engineering,designing,construction|4.31|144.1|1.27|-0.11%|1.76%(Mar2020)|0%(Jun2019)|7.96L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
SchaefflerIndiaLtd.|Bearings|1.26|142.5|1.26|-0.04%|1.54%(Mar2020)|1.26%(May2020)|44.58k|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|2.03|137.8|1.22|0.14%|1.22%(May2020)|0.77%(Sep2019)|1.06L|7.86k|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
SupremeIndustriesLtd.|Plasticproducts|1.19|134.2|1.19|-0.03%|1.22%(Apr2020)|0.64%(Jul2019)|1.32L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
Mahindra&MahindraLtd.|Passenger/utilityvehicles|2.16|128.3|1.13|0.21%|1.34%(Jun2019)|0.78%(Mar2020)|2.94L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
VSTTillersTractorsLtd.|Tractors|1.09|123.7|1.09|0.06%|1.24%(Jan2020)|0.84%(Mar2020)|1.35L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
APLApolloTubesLtd.|Steelproducts|1.04|118.2|1.04|0.09%|1.09%(Dec2019)|0.82%(Sep2019)|77.88k|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|2.16|116.7|1.03|0.08%|1.03%(May2020)|0.76%(Feb2020)|20.80k|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|2.02|115.4|1.02|-0.04%|1.34%(Nov2019)|1.02%(May2020)|4.80L|0.00|Other|7.24|kotak-equity-hybrid-regular-plan|29-06-2020
GAIL(India)Ltd.|Gastransmission/marketing|2.02|113|1.00|0.09%|1%(May2020)|0.69%(Feb2020)|12.23L|1.00L|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
CenturyPlyboardsIndiaLtd.|Plywoodboards|0.97|109.7|0.97|-0.15%|1.12%(Mar2020)|0%(Jun2019)|10.78L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
NationalThermalPowerCorporationLtd.|Power|0.93|105.5|0.93|0.06%|0.93%(May2020)|0%(Jun2019)|10.78L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
EicherMotorsLtd.|Commercialvehicles|0.88|99.3|0.88|0.50%|0.88%(May2020)|0%(Jun2019)|6.00k|3.00k|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|0.86|97|0.86|-0.03%|1.01%(Mar2020)|0.26%(Jul2019)|1.51L|-0.25L|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
HDFCStandardLifeInsuranceCompanyLtd.|Insurance|2.03|91.5|0.81|0.07%|0.9%(Dec2019)|0.63%(Jun2019)|1.75L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
LupinLtd.|Pharmaceuticals|6.48|86.8|0.77|0.06%|0.77%(May2020)|0.5%(Feb2020)|99.79k|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
#HindustanUnileverLtd.|Diversified|0.71|80.9|0.71|0.71%|0.71%(May2020)|0%(Jun2019)|39.34k|39.34k|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
KajariaCeramicsLtd.|Sanitaryware|0.71|80|0.71|-0.03%|0.91%(Jan2020)|0.65%(Jun2019)|2.34L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
AuSmallFinanceBankLtd.|Banks|19.66|78|0.69|-0.23%|1.81%(Nov2019)|0.69%(May2020)|1.99L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
#BajajAutoLtd.|Motorcycles/scooters|0.65|73.5|0.65|0.65%|0.65%(May2020)|0%(Jun2019)|27.10k|27.10k|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
Oil&NaturalGasCorporationLtd.|Oilexploration|0.64|72.9|0.64|0.05%|0.64%(May2020)|0.32%(Aug2019)|8.76L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
EmamiLtd.|Personalcare|0.63|71|0.63|0.03%|0.86%(Jul2019)|0.57%(Mar2020)|3.64L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
MothersonSumiSystemsLtd.|Autoancillaries|0.59|67.1|0.59|0.07%|0.7%(Nov2019)|0.42%(Mar2020)|7.05L|0.00|LargeCap|46.03|kotak-equity-hybrid-regular-plan|29-06-2020
MRFLtd.|Tyres&allied|0.53|59.8|0.53|0.01%|0.87%(Dec2019)|0.52%(Apr2020)|1.01k|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
DixonTechnologies(India)Ltd.|Consumerelctronics|0.46|52.1|0.46|0.04%|0.98%(Sep2019)|0.38%(Feb2020)|10.69k|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
JMCProjects(India)Ltd.|Constructioncivil|0.43|49.1|0.43|0.04%|0.94%(Jun2019)|0.36%(Mar2020)|11.24L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
KirloskarOilEnginesLtd.|Dieselengines|0.31|34.7|0.31|-0.02%|0.44%(Sep2019)|0.27%(Mar2020)|3.39L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
FinolexCablesLtd.|Cables-electricals|0.29|32.4|0.29|-0.04%|0.44%(Jun2019)|0.29%(May2020)|1.52L|0.00|SmallCap|12.31|kotak-equity-hybrid-regular-plan|29-06-2020
ExideIndustriesLtd.|Batteries–automobile|0.28|31.9|0.28|0.02%|0.3%(Mar2020)|0.23%(Feb2020)|1.96L|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|0.36|28|0.25|-0.01%|0.3%(Mar2020)|0%(Jun2019)|51.87k|0.00|Other|7.24|kotak-equity-hybrid-regular-plan|29-06-2020
Mahindra&MahindraFinancialServicesLtd.|Nbfc|0.36|13|0.11|-0.02%|0.23%(Feb2020)|0%(Jun2019)|93.15k|0.00|MidCap|11.89|kotak-equity-hybrid-regular-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|5.17|9.5|0.08|0.08%|0.08%(May2020)|0%(Jun2019)|17.71k|17.71k|Other|7.24|kotak-equity-hybrid-regular-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|8.98|19769.4|7.61|0.01%|7.61%(May2020)|6.07%(Jul2019)|1.35Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
ICICIBankLtd.|Banks|18.54|14439.8|5.56|-0.79%|7.47%(Dec2019)|5.56%(May2020)|4.35Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
HDFCBankLtd.|Banks|18.54|13701.4|5.27|-0.36%|6.92%(Jun2019)|5.27%(May2020)|1.44Cr|-2.33L|Other|5.91|kotak-standard-multicap-fund-regular-plan|29-06-2020
UltratechCementLtd.|Cement|9.02|11812.2|4.55|0.48%|4.55%(May2020)|2.71%(Aug2019)|30.25L|25.00k|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
HindustanUnileverLtd.|Diversified|4.11|10691.4|4.11|1.20%|4.11%(May2020)|0%(Jun2019)|51.97L|17.47L|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.84|10627.7|4.09|0.16%|5.2%(Oct2019)|3.93%(Apr2020)|1.14Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
InfosysLtd.|Computers-software|6.99|9487.8|3.65|-0.12%|4.41%(Aug2019)|3.29%(Nov2019)|1.37Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|6.99|8678.3|3.34|-0.06%|3.92%(Aug2019)|2.99%(Jan2020)|44.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
AxisBankLtd.|Banks|18.54|7859.2|3.02|-0.47%|5.58%(Jun2019)|3.02%(May2020)|2.04Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
PetronetLNGLtd.|Lpg/cng/png/lngsupplier|5.61|7670.2|2.95|0.12%|2.95%(May2020)|2.43%(Jun2019)|3.04Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
IndraprasthaGasLtd.|Lpg/cng/png/lngsupplier|5.61|6903.7|2.66|-0.12%|2.78%(Apr2020)|1.68%(Jul2019)|1.46Cr|-5.69L|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
SRFLtd.|Chemicals-speciality|2.55|6625.6|2.55|-0.16%|2.71%(Apr2020)|1.75%(Jul2019)|19.00L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
ShreeCementLtd.|Cement|9.02|6257.2|2.41|0.13%|2.41%(May2020)|1.61%(Sep2019)|3.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|4.28|5593|2.15|0.02%|2.15%(May2020)|1.67%(Jun2019)|43.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
KotakMahindraBankLtd.|Banks|18.54|5079.6|1.95|-0.21%|2.53%(Jul2019)|1.95%(May2020)|41.50L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
TheRamcoCementsLtd.|Cement|9.02|5055.2|1.95|0.17%|1.96%(Feb2020)|1.61%(Aug2019)|83.75L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
BritanniaIndustriesLtd.|Consumerfood|3.59|4814.9|1.85|0.43%|1.85%(May2020)|1.21%(Feb2020)|14.25L|2.57L|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
JubilantFoodworksLtd.|Consumerfood|3.59|4530.8|1.74|0.01%|1.74%(May2020)|0.78%(Jul2019)|27.35L|-0.65L|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|2.66|4307.5|1.66|0.17%|1.66%(May2020)|0.95%(Sep2019)|1.25Cr|5.00L|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|1.44|3736.8|1.44|-0.05%|1.88%(Oct2019)|1.28%(Feb2020)|5.40Cr|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
InterGlobeAviationLtd.|Airlines|1.41|3668.9|1.41|-0.04%|2.14%(Sep2019)|1.27%(Jun2019)|38.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
HeroMotocorpLtd.|Motorcycles/scooters|1.36|3541.3|1.36|0.15%|1.47%(Aug2019)|1.01%(Mar2020)|15.00L|50.00k|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
ContainerCorporationOfIndiaLtd.|Logisticssolutionprovider|1.32|3431.2|1.32|0.01%|1.47%(Nov2019)|1.19%(Jun2019)|91.23L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
GodrejConsumerProductsLtd|Personalcare|1.29|3359.1|1.29|0.18%|1.3%(Oct2019)|0.99%(Feb2020)|53.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|8.98|3068.1|1.18|-0.07%|1.36%(Oct2019)|1.01%(Jul2019)|89.50L|1.50L|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
StateBankOfIndia|Banks|18.54|3064.7|1.18|-0.28%|3.02%(Jul2019)|1.18%(May2020)|1.90Cr|-0.10Cr|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
MRFLtd.|Tyres&allied|1.98|2837.4|1.09|-0.02%|1.22%(Mar2020)|0.86%(Jul2019)|48.00k|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
AuSmallFinanceBankLtd.|Banks|18.54|2825.4|1.09|-0.42%|2.85%(Feb2020)|1.09%(May2020)|72.15L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
HDFCStandardLifeInsuranceCompanyLtd.|Insurance|4.28|2773|1.07|0.05%|1.07%(May2020)|0.79%(Jun2019)|53.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
SBILifeInsuranceCoLtd.|Insurance|4.28|2767.1|1.06|0.06%|1.06%(May2020)|0.85%(Jun2019)|36.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
UnitedBreweriesLtd.|Brew/distilleries|1.03|2679.6|1.03|0.02%|1.08%(Feb2020)|0%(Jun2019)|28.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
JindalSteel&PowerLtd.|Steel|1.03|2674.1|1.03|0.23%|1.27%(Jan2020)|0.55%(Aug2019)|2.20Cr|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
LupinLtd.|Pharmaceuticals|2.66|2609.4|1.00|0.04%|1%(May2020)|0.65%(Feb2020)|30.00L|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
BataIndiaLtd.|Leatherandleatherproducts|0.95|2476.2|0.95|-0.03%|1.15%(Sep2019)|0.94%(Jul2019)|18.68L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
BalkrishnaIndustriesLtd.|Tyres&allied|1.98|2319.6|0.89|0.12%|0.89%(May2020)|0%(Jun2019)|21.50L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
GAIL(India)Ltd.|Gastransmission/marketing|0.89|2314.9|0.89|-0.03%|1.51%(Jun2019)|0.84%(Mar2020)|2.51Cr|0.00|LargeCap|62.37|kotak-standard-multicap-fund-regular-plan|29-06-2020
ThermaxLtd.|Industrialequipment|1.12|2231.5|0.86|-0.01%|1.02%(Mar2020)|0%(Jun2019)|31.40L|0.00|MidCap|21.05|kotak-standard-multicap-fund-regular-plan|29-06-2020
